##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_016839005.1	PRJNA224116	SAMN16615614	JADLKL000000000.1	na	2164	2164	Methanobacterium sp.	na	Rep1_Bin027	latest	Contig	Major	Full	2021-02-09	ASM1683900v1	Imperial College London	GCA_016839005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/839/005/GCF_016839005.1_ASM1683900v1	derived from metagenome	na	na	haploid	archaea	2220121	2220121	42.500000	0	169	169	NCBI RefSeq	GCF_016839005.1-RS_2024_10_23	2024-10-23	2270	2199	49	33326896
GCF_020854955.1	PRJNA224116	SAMN19322293	JAHKLR000000000.1	na	2164	2164	Methanobacterium sp.	na	MAG 288	latest	Contig	Major	Full	2021-11-12	ASM2085495v1	DOE Joint Genome Institute	GCA_020854955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/854/955/GCF_020854955.1_ASM2085495v1	derived from metagenome	na	na	haploid	archaea	2470617	2470617	39.500000	0	86	86	NCBI RefSeq	GCF_020854955.1-RS_2024_07_03	2024-07-03	2468	2395	44	na
GCF_029981945.1	PRJNA224116	SAMN33401096	JARRCR000000000.1	na	2164	2164	Methanobacterium sp.	na	DJKA113_NP-J24_bin.44	latest	Contig	Major	Full	2023-05-11	ASM2998194v1	The Ohio State University	GCA_029981945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/981/945/GCF_029981945.1_ASM2998194v1	derived from metagenome	na	na	haploid	archaea	1944832	1944832	40.000000	0	21	21	NCBI RefSeq	GCF_029981945.1-RS_2024_07_17	2024-07-17	1990	1925	45	na
GCF_034331145.1	PRJNA224116	SAMN38138823	JAXQGE000000000.1	na	2164	2164	Methanobacterium sp.	na	IBPM_KMB_004	latest	Scaffold	Major	Full	2023-12-13	ASM3433114v1	IBPM RAS	GCA_034331145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/331/145/GCF_034331145.1_ASM3433114v1	derived from metagenome	na	na	haploid	archaea	2538249	2536449	39.000000	0	9	27	NCBI RefSeq	GCF_034331145.1-RS_2025_02_19	2025-02-19	2513	2449	52	na
GCF_038562635.1	PRJNA224116	SAMN40733681	JBCFBO000000000.1	na	2164	2164	Methanobacterium sp.	na	maxbin2.bin.6	latest	Scaffold	Major	Full	2024-04-27	ASM3856263v1	Nanjing Agricultural University	GCA_038562635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/562/635/GCF_038562635.1_ASM3856263v1	derived from metagenome	na	na	haploid	archaea	3352543	3352243	33.500000	0	11	14	NCBI RefSeq	GCF_038562635.1-RS_2024_04_29	2024-04-29	3293	3240	44	na
GCF_040373355.1	PRJNA224116	SAMN41483005	JBDXXJ000000000.1	na	2164	2164	Methanobacterium sp.	na	NSW-1	latest	Contig	Major	Full	2024-06-27	ASM4037335v1	DOE Joint Genome Institute	GCA_040373355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/373/355/GCF_040373355.1_ASM4037335v1	derived from metagenome	na	na	haploid	archaea	2213465	2213465	31.500000	0	7	7	NCBI RefSeq	GCF_040373355.1-RS_2025_05_31	2025-05-31	2390	2343	37	na
GCF_049688275.1	PRJNA224116	SAMN40008704	JBAVKK000000000.1	na	2164	2164	Methanobacterium sp.	na	MFD05686_ilm_asm_bin15	latest	Contig	Major	Full	2025-04-16	ASM4968827v1	The Microflora Danica Consortium	GCA_049688275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/688/275/GCF_049688275.1_ASM4968827v1	derived from metagenome	na	na	haploid	archaea	2403316	2403316	32.000000	0	158	158	NCBI RefSeq	GCF_049688275.1-RS_2025_04_18	2025-04-18	2447	2372	47	na
GCF_049697495.1	PRJNA224116	SAMN40008405	JBAVVX000000000.1	na	2164	2164	Methanobacterium sp.	na	MFD01092_ilm_asm_bin20	latest	Contig	Major	Full	2025-04-16	ASM4969749v1	The Microflora Danica Consortium	GCA_049697495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/697/495/GCF_049697495.1_ASM4969749v1	derived from metagenome	na	na	haploid	archaea	2420475	2420475	32.000000	0	312	312	NCBI RefSeq	GCF_049697495.1-RS_2025_04_18	2025-04-18	2548	2456	42	na
GCF_049723875.1	PRJNA224116	SAMN47598128	JBNAKN000000000.1	na	2164	2164	Methanobacterium sp.	na	MBAC-AD2	latest	Contig	Major	Full	2025-04-16	ASM4972387v1	Institute of Soil Biology and Biochemistry	GCA_049723875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/723/875/GCF_049723875.1_ASM4972387v1	derived from metagenome	na	na	haploid	archaea	3053500	3053500	32.000000	0	26	26	NCBI RefSeq	GCF_049723875.1-RS_2025_04_18	2025-04-18	3094	3040	44	na
GCF_050950605.1	PRJNA224116	SAMN44462190	JBMNHX000000000.1	na	2164	2164	Methanobacterium sp.	na	SBF912LR0HQ0213	latest	Contig	Major	Full	2025-06-17	ASM5095060v1	University of British Columbia	GCA_050950605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/950/605/GCF_050950605.1_ASM5095060v1	derived from metagenome	na	na	haploid	archaea	2086048	2086048	40.000000	0	5	5	NCBI RefSeq	GCF_050950605.1-RS_2025_06_18	2025-06-18	2119	2048	53	na
GCF_000824705.1	PRJNA224116	SAMEA2796325	CCXV00000000.1	na	2173	2173	Methanobrevibacter smithii	strain=ACE6	na	latest	Contig	Major	Full	2014-10-02	Methanobrevibacter smithii	URMITE	GCA_000824705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/824/705/GCF_000824705.1_Methanobrevibacter_smithii	na	na	na	haploid	archaea	1718384	1718384	31.500000	0	87	87	NCBI RefSeq	GCF_000824705.1-RS_2024_10_21	2024-10-21	1734	1637	40	na
GCF_002813085.1	PRJNA224116	SAMN05935551	na	na	2173	2173	Methanobrevibacter smithii	strain=KB11	na	latest	Complete Genome	Major	Full	2017-12-06	ASM281308v1	KRIBB	GCA_002813085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/085/GCF_002813085.1_ASM281308v1	na	na	na	haploid	archaea	1805545	1805545	31.000000	1	1	1	NCBI RefSeq	GCF_002813085.1-RS_2024_10_22	2024-10-22	1781	1712	43	na
GCF_018784305.1	PRJNA224116	SAMN12147416	WQOC00000000.1	na	2173	2173	Methanobrevibacter smithii	strain=MCC662	na	latest	Scaffold	Major	Full	2021-06-08	ASM1878430v1	University College Cork	GCA_018784305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/784/305/GCF_018784305.1_ASM1878430v1	na	na	na	haploid	archaea	1785820	1785653	31.000000	0	97	100	NCBI RefSeq	GCF_018784305.1-RS_2025_04_02	2025-04-02	1806	1726	45	33993839
GCF_022846155.1	PRJNA224116	SAMD00389909	na	na	2173	2173	Methanobrevibacter smithii	strain=CE91-St67	na	latest	Complete Genome	Major	Full	2022-02-04	ASM2284615v1	Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN	GCA_022846155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/846/155/GCF_022846155.1_ASM2284615v1	na	na	na	haploid	archaea	1791153	1791153	31.000000	1	1	1	NCBI RefSeq	GCF_022846155.1-RS_2025_04_20	2025-04-20	1741	1679	44	na
GCF_022846175.1	PRJNA224116	SAMD00389910	na	na	2173	2173	Methanobrevibacter smithii	strain=CE91-St68	na	latest	Complete Genome	Major	Full	2022-02-04	ASM2284617v1	Laboratory for Microbiome Sciences, Center for Integrative Medical Sciences, RIKEN	GCA_022846175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/846/175/GCF_022846175.1_ASM2284617v1	na	na	na	haploid	archaea	1791155	1791155	31.000000	1	1	1	NCBI RefSeq	GCF_022846175.1-RS_2025_04_20	2025-04-20	1743	1681	44	na
GCF_036527415.1	PRJNA224116	SAMN32745244	JAQOLM000000000.1	na	2173	2173	Methanobrevibacter smithii	strain=JC9	na	latest	Scaffold	Major	Full	2024-02-09	ASM3652741v1	University of Queensland	GCA_036527415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/527/415/GCF_036527415.1_ASM3652741v1	na	na	na	haploid	archaea	1752600	1751819	31.000000	0	16	26	NCBI RefSeq	GCF_036527415.1-RS_2025_02_09	2025-02-09	1720	1656	36	na
GCF_041537865.1	PRJNA224116	SAMN43285203	JBGOSM000000000.1	na	2173	2173	Methanobrevibacter smithii	strain=U29	na	latest	Scaffold	Major	Full	2024-08-28	ASM4153786v1	IHU - Mediterranee Infection	GCA_041537865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/537/865/GCF_041537865.1_ASM4153786v1	na	na	na	haploid	archaea	1822124	1822024	31.000000	0	111	112	NCBI RefSeq	GCF_041537865.1-RS_2025_08_29	2025-08-29	1809	1734	41	na
GCF_900650605.1	PRJNA224116	SAMEA5207298	CAABOX000000000.1	na	2173	2173	Methanobrevibacter smithii	strain=C2 CSUR P5816	na	latest	Contig	Major	Full	2019-02-04	PRJEB30627	URMITE	GCA_900650605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/650/605/GCF_900650605.1_PRJEB30627	na	na	na	haploid	archaea	1720664	1720664	31.000000	0	11	11	NCBI RefSeq	GCF_900650605.1-RS_2025_11_21	2025-11-21	1709	1644	44	na
GCF_900654205.1	PRJNA224116	SAMEA5208282	CAACAE000000000.1	na	2173	2173	Methanobrevibacter smithii	na	PRJEB30652	latest	Scaffold	Major	Full	2020-01-15	PRJEB30652	URMITE	GCA_900654205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/654/205/GCF_900654205.1_PRJEB30652	na	na	na	haploid	archaea	1722603	1722401	31.000000	0	14	16	NCBI RefSeq	GCF_900654205.1-RS_2025_11_30	2025-11-30	1710	1646	43	na
GCF_901111125.1	PRJNA224116	SAMEA5568008	CAAKMW000000000.1	na	2173	2173	Methanobrevibacter smithii	na	PRJEB32190	latest	Contig	Major	Full	2020-04-15	PRJEB32190	URMITE	GCA_901111125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/111/125/GCF_901111125.1_PRJEB32190	na	na	na	haploid	archaea	1712416	1712416	31.500000	0	27	27	NCBI RefSeq	GCF_901111125.1-RS_2024_10_23	2024-10-23	1707	1642	43	na
GCF_902384055.1	PRJNA224116	SAMEA5851667	CABMAD000000000.1	na	2173	2173	Methanobrevibacter smithii	na	MGYG-HGUT-02163	latest	Scaffold	Major	Full	2019-08-14	UHGG_MGYG-HGUT-02163	EMG	GCA_902384055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/384/055/GCF_902384055.1_UHGG_MGYG-HGUT-02163	na	na	na	haploid	archaea	1729275	1727775	31.500000	0	10	25	NCBI RefSeq	GCF_902384055.1-RS_2024_10_23	2024-10-23	1716	1644	42	na
GCF_902387325.1	PRJNA224116	SAMEA5851951	CABMLR000000000.1	na	2173	2173	Methanobrevibacter smithii	na	MGYG-HGUT-02446	latest	Contig	Major	Full	2019-08-15	UHGG_MGYG-HGUT-02446	EMG	GCA_902387325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/387/325/GCF_902387325.1_UHGG_MGYG-HGUT-02446	na	na	na	haploid	archaea	1926345	1926345	30.500000	0	16	16	NCBI RefSeq	GCF_902387325.1-RS_2024_10_23	2024-10-23	1864	1782	46	na
GCF_964304805.1	PRJNA224116	SAMEA116300873	CAYARK000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0056	latest	Contig	Major	Full	2024-11-07	EST-A-0056_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964304805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/304/805/GCF_964304805.1_EST-A-0056_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1365033	1365033	32.000000	0	194	194	NCBI RefSeq	GCF_964304805.1-RS_2024_11_08	2024-11-08	1447	1386	35	na
GCF_964304945.1	PRJNA224116	SAMEA116300878	CAYARS000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0061	latest	Contig	Major	Full	2024-11-07	EST-A-0061_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964304945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/304/945/GCF_964304945.1_EST-A-0061_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1555700	1555700	31.000000	0	66	66	NCBI RefSeq	GCF_964304945.1-RS_2024_11_08	2024-11-08	1599	1532	30	na
GCF_964305085.1	PRJNA224116	SAMEA116300825	CAYASF000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0008	latest	Contig	Major	Full	2024-11-07	EST-A-0008_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/085/GCF_964305085.1_EST-A-0008_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1670466	1670466	31.500000	0	96	96	NCBI RefSeq	GCF_964305085.1-RS_2024_11_09	2024-11-09	1692	1611	40	na
GCF_964305125.1	PRJNA224116	SAMEA116300824	CAYAST000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0007	latest	Contig	Major	Full	2024-11-07	EST-A-0007_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/125/GCF_964305125.1_EST-A-0007_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1556496	1556496	31.500000	0	165	165	NCBI RefSeq	GCF_964305125.1-RS_2024_11_08	2024-11-08	1671	1567	36	na
GCF_964305135.1	PRJNA224116	SAMEA116300826	CAYASS000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0009	latest	Contig	Major	Full	2024-11-07	EST-A-0009_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/135/GCF_964305135.1_EST-A-0009_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1757024	1757024	31.500000	0	107	107	NCBI RefSeq	GCF_964305135.1-RS_2024_11_08	2024-11-08	1789	1704	36	na
GCF_964305225.1	PRJNA224116	SAMEA116300833	CAYASV000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0016	latest	Contig	Major	Full	2024-11-07	EST-A-0016_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/225/GCF_964305225.1_EST-A-0016_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1671654	1671654	31.500000	0	27	27	NCBI RefSeq	GCF_964305225.1-RS_2024_11_08	2024-11-08	1675	1611	33	na
GCF_964305235.1	PRJNA224116	SAMEA116300869	CAYASY000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0052	latest	Contig	Major	Full	2024-11-07	EST-A-0052_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/235/GCF_964305235.1_EST-A-0052_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1364953	1364953	32.000000	0	97	97	NCBI RefSeq	GCF_964305235.1-RS_2024_11_08	2024-11-08	1428	1340	35	na
GCF_964305285.1	PRJNA224116	SAMEA116300867	CAYASX000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0050	latest	Contig	Major	Full	2024-11-07	EST-A-0050_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/285/GCF_964305285.1_EST-A-0050_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1419272	1419272	31.000000	0	57	57	NCBI RefSeq	GCF_964305285.1-RS_2024_11_08	2024-11-08	1476	1408	31	na
GCF_964305315.1	PRJNA224116	SAMEA116300870	CAYATI000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0053	latest	Contig	Major	Full	2024-11-07	EST-A-0053_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/315/GCF_964305315.1_EST-A-0053_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1488724	1488724	31.500000	0	77	77	NCBI RefSeq	GCF_964305315.1-RS_2024_11_08	2024-11-08	1548	1478	31	na
GCF_964305385.1	PRJNA224116	SAMEA116300871	CAYATN000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0054	latest	Contig	Major	Full	2024-11-07	EST-A-0054_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/385/GCF_964305385.1_EST-A-0054_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1547089	1547089	31.000000	0	121	121	NCBI RefSeq	GCF_964305385.1-RS_2024_11_08	2024-11-08	1620	1561	29	na
GCF_964305455.1	PRJNA224116	SAMEA116300872	CAYATW000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0055	latest	Contig	Major	Full	2024-11-07	EST-A-0055_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/455/GCF_964305455.1_EST-A-0055_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1359558	1359558	31.000000	0	117	117	NCBI RefSeq	GCF_964305455.1-RS_2024_11_08	2024-11-08	1473	1383	23	na
GCF_964305585.1	PRJNA224116	SAMEA116300829	CAYAUL000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0012	latest	Contig	Major	Full	2024-11-07	EST-A-0012_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/585/GCF_964305585.1_EST-A-0012_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1616604	1616604	31.500000	0	84	84	NCBI RefSeq	GCF_964305585.1-RS_2024_11_08	2024-11-08	1577	1510	38	na
GCF_964305735.1	PRJNA224116	SAMEA116300866	CAYAUZ000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0049	latest	Contig	Major	Full	2024-11-07	EST-A-0049_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/735/GCF_964305735.1_EST-A-0049_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1453094	1453094	31.000000	0	332	332	NCBI RefSeq	GCF_964305735.1-RS_2024_11_08	2024-11-08	1648	1474	24	na
GCF_964305765.1	PRJNA224116	SAMEA116300827	CAYAUU000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0010	latest	Contig	Major	Full	2024-11-07	EST-A-0010_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/765/GCF_964305765.1_EST-A-0010_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1832006	1832006	31.000000	0	30	30	NCBI RefSeq	GCF_964305765.1-RS_2024_11_08	2024-11-08	1890	1821	42	na
GCF_964305795.1	PRJNA224116	SAMEA116300856	CAYAUY000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0039	latest	Contig	Major	Full	2024-11-07	EST-A-0039_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/795/GCF_964305795.1_EST-A-0039_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1526751	1526751	31.500000	0	33	33	NCBI RefSeq	GCF_964305795.1-RS_2024_11_08	2024-11-08	1554	1496	37	na
GCF_964305845.1	PRJNA224116	SAMEA116300832	CAYAVD000000000.1	na	2173	2173	Methanobrevibacter smithii	na	EST-A-0015	latest	Contig	Major	Full	2024-11-07	EST-A-0015_Methanobrevibacter_A-smithii	Estonian Genome Centre, Institute of Genomics, University of Tartu	GCA_964305845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/305/845/GCF_964305845.1_EST-A-0015_Methanobrevibacter_A-smithii	na	na	na	haploid	archaea	1783753	1783753	31.000000	0	47	47	NCBI RefSeq	GCF_964305845.1-RS_2024_11_09	2024-11-09	1816	1742	38	na
